Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2026-12,NEAR_TERM_2026_2050,NESM3,SSP245,MH,18.702886587518652,11.241765287529022,26.16400596930776
2026-12,NEAR_TERM_2026_2050,NESM3,SSP245,ML,25.417199163109505,17.503317534932297,33.33108113903999
2026-12,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,23.953456394954888,16.714889260158913,31.19202343597882
2027-01,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,24.124841486425026,18.03450097349168,30.21518211212941
2027-01,NEAR_TERM_2026_2050,NESM3,SSP245,MH,19.45220348489413,12.761038390732978,26.143359285704488
2027-01,NEAR_TERM_2026_2050,NESM3,SSP245,ML,25.959996457375105,18.95806965462218,32.96192107552419
2027-01,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,24.0254358303999,17.603773961143748,30.447096075577
2027-02,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,24.236709862774667,16.39603612009542,32.077383299670906
2027-02,NEAR_TERM_2026_2050,NESM3,SSP245,MH,19.346770668081486,11.01189965449904,27.68164652677387
2027-02,NEAR_TERM_2026_2050,NESM3,SSP245,ML,26.054120087048908,17.18495341622109,34.923291243002154
2027-02,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,24.105236137601164,15.915264888410508,32.295209199717206
2027-03,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,25.444922920734534,16.979429227862617,33.910420465171185
2027-03,NEAR_TERM_2026_2050,NESM3,SSP245,MH,19.694888038604276,10.82819955185547,28.561585024965744
2027-03,NEAR_TERM_2026_2050,NESM3,SSP245,ML,26.899606699974914,17.45854946941771,36.340665945717696
2027-03,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,25.10172926387354,16.313807699581872,33.889655179446706
2027-04,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,26.82141227700484,19.58547537425761,34.057350719510474
2027-04,NEAR_TERM_2026_2050,NESM3,SSP245,MH,21.693992792923794,14.829532519319612,28.558451371566324
2027-04,NEAR_TERM_2026_2050,NESM3,SSP245,ML,28.132638030404,20.360371379977707,35.90490798894468
2027-04,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,26.516728499319118,19.179872359265744,33.85358613581739
2027-05,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,30.041871556319457,21.445748040403693,38.637994597295666
2027-05,NEAR_TERM_2026_2050,NESM3,SSP245,MH,23.067931598093892,14.449111668109529,31.6867537604668
2027-05,NEAR_TERM_2026_2050,NESM3,SSP245,ML,30.68373350668687,21.824759586576683,39.54271264309603
